C,Si,Mn,P,S,Alt,Cr,Cu,V,Nb,Mo,Ti,ModelCalculatedValue,TheoreticalSlabThickness,TheoreticalSlabWidth,TimeinFurnace(min),ActualExitTemperature,ActualRollingStartTemperature,ActualStartAfterTemperatureControl,ActualFinalRollingThickness,ActualFinalRollingTemperature,ActualTemperatureBeforeCooling,Thickness,TemperatureAfterCooling,YieldStrength,TensileStrength,Elongation,Toughness
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,893,250,1800,284.25,1216,1135,150.02,80.13,801.0,815,80.0,688,400,555,28.5,211.33333333333334
0.15,0.27,1.43,0.01,0.005,0.027,0.01,0.01,0.002,0.001,0.001,0.002,893,320,1800,361.35,1205,1142,150.01,80.1,796.0,814,80.0,694,375,535,29.5,212.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,809,250,2000,379.7666666666667,1223,1138,100.02,50.09,744.0,771,50.0,678,400,540,25.0,204.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,875,320,1800,380.5166666666667,1221,1140,120.02,60.07,757.0,813,60.0,686,405,540,28.5,221.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,880,250,2000,400.7333333333333,1222,1130,120.06,70.07,767.0,814,70.0,657,410,560,31.0,216.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,861,320,2050,447.45,1210,1148,80.0,40.15,796.0,810,40.0,696,395,555,28.0,134.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,856,250,1800,283.7833333333334,1235,1148,73.19,45.17,787.0,805,45.0,667,385,535,32.0,240.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,853,320,2300,340.8,1217,1157,135.02,60.25,781.0,804,60.0,675,395,530,31.0,241.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,842,250,2400,297.45,1233,1156,140.2,70.06,783.0,797,70.0,676,395,530,28.0,201.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,867,320,2300,357.0666666666667,1240,1155,140.2,70.07,767.0,813,70.0,665,400,535,29.0,227.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,863,220,1800,298.7833333333334,1239,1144,140.02,70.21,739.0,789,70.0,662,375,520,29.0,209.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,864,220,1800,300.6833333333333,1238,1140,140.01,70.09,726.0,814,70.0,677,365,530,31.0,209.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,857,220,1800,306.0,1232,1136,140.03,70.06,805.0,812,70.0,670,380,525,30.5,220.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,849,320,1800,305.0833333333333,1223,1155,145.03,70.76,750.0,806,70.0,594,395,540,32.0,225.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,792,320,1800,379.4166666666667,1226,1154,140.03,70.05,727.0,773,70.0,631,370,535,32.0,210.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,780,320,1800,426.3,1223,1147,100.03,50.19,746.0,800,50.0,634,405,545,27.5,245.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,799,220,1800,796.4166666666666,1205,1189,75.0,30.1,781.59,768,30.0,630,430,545,20.5,167.66666666666666
